Grupo de edades,Total,Ninguno,Primaria,Básico,Diversificado,Universitario,Ignorado,Sexo,Victima o Agresor,Anio
45 a 49,223,30,97,35,42,12,7,H,V,16
50 a 54,207,36,102,19,28,16,6,H,V,16
55 a 59,175,39,82,10,29,11,4,H,V,16
60 a 64,139,37,63,13,17,7,2,H,V,16
65 a 69,111,41,47,8,8,4,3,H,V,16
70 a 74,90,35,43,4,5,2,1,H,V,16
75 a 79,55,25,21,2,4,1,2,H,V,16
80 y más,72,29,33,3,3,1,3,H,V,16
Ignorado,40,4,10,11,11,2,2,H,V,16
07 a 09,21,5,16,0,0,0,0,M,V,16
10 a 14,184,10,119,47,0,0,8,M,V,16
15 a 19,2586,329,1201,682,319,6,49,M,V,16
20 a 24,5373,626,2200,1160,1176,104,107,M,V,16
25 a 29,5435,786,2077,924,1374,161,113,M,V,16
30 a 34,4577,822,1815,650,1024,172,94,M,V,16
35 a 39,3426,793,1386,445,627,125,50,M,V,16
40 a 44,2224,624,936,232,310,77,45,M,V,16
45 a 49,1320,443,538,112,159,42,26,M,V,16
50 a 54,832,328,336,47,74,23,24,M,V,16
55 a 59,540,248,193,28,47,15,9,M,V,16
60 a 64,358,160,142,16,23,11,6,M,V,16
65 a 69,233,117,77,13,12,3,11,M,V,16
70 a 74,151,97,42,2,8,0,2,M,V,16
75 a 79,76,50,19,3,2,1,1,M,V,16
80 y más,97,59,26,5,7,0,0,M,V,16
Ignorado,422,74,129,86,89,18,26,M,V,16
05 a 09,1,1,0,0,0,0,0,H,A,16
10 a 14,18,1,13,1,0,0,3,H,A,16
15 a 19,870,87,407,234,103,4,35,H,A,16
20 a 24,3977,369,1677,1005,777,34,115,H,A,16
25 a 29,5077,501,2047,1043,1218,103,165,H,A,16
30 a 34,4821,525,2036,901,1092,133,134,H,A,16
35 a 39,4063,560,1751,678,784,141,149,H,A,16
40 a 44,2558,403,1154,391,432,85,93,H,A,16
45 a 49,1685,306,784,203,264,63,65,H,A,16
50 a 54,1085,237,519,106,144,32,47,H,A,16
