Grupos de edad,Total,Alfabeta,Analfabeta,Ignorado,Sexo,Victima o Agresor,Anio
60 a 64,83,45,37,1,M,A,17
65 a 69,51,23,27,1,M,A,17
Total,3707,3231,452,24,H,V,18
07 a 09,13,10,3,0,H,V,18
10 a 14,38,37,0,1,H,V,18
15 a 19,144,128,14,2,H,V,18
20 a 24,416,389,26,1,H,V,18
25 a 29,484,458,24,2,H,V,18
30 a 34,497,467,27,3,H,V,18
35 a 39,484,432,48,4,H,V,18
40 a 44,362,325,34,3,H,V,18
45 a 49,251,219,32,0,H,V,18
50 a 54,223,199,23,1,H,V,18
55 a 59,215,178,36,1,H,V,18
60 a 64,139,105,32,2,H,V,18
65 a 69,132,94,38,0,H,V,18
70 a 74,106,67,39,0,H,V,18
75 a 79,77,44,32,1,H,V,18
80 y más,98,57,40,1,H,V,18
Ignorado,28,22,4,2,H,V,18
Total,26217,21792,4221,204,M,V,18
07 a 09,33,27,5,1,M,V,18
10 a 14,145,133,12,0,M,V,18
15 a 19,2142,1926,203,13,M,V,18
20 a 24,5207,4700,481,26,M,V,18
25 a 29,5033,4501,510,22,M,V,18
30 a 34,4230,3641,555,34,M,V,18
35 a 39,3278,2641,617,20,M,V,18
40 a 44,2188,1639,526,23,M,V,18
45 a 49,1267,903,350,14,M,V,18
50 a 54,845,561,273,11,M,V,18
55 a 59,557,341,212,4,M,V,18
60 a 64,388,226,155,7,M,V,18
65 a 69,243,131,110,2,M,V,18
70 a 74,165,83,78,4,M,V,18
75 a 79,90,44,43,3,M,V,18
80 y más,109,46,60,3,M,V,18
Ignorado,297,249,31,17,M,V,18
10 a 14,15,15,0,0,H,A,18
15 a 19,814,747,59,8,H,A,18
20 a 24,3701,3398,260,43,H,A,18
25 a 29,4706,4368,294,44,H,A,18
30 a 34,4403,3980,374,49,H,A,18
35 a 39,3603,3240,330,33,H,A,18
40 a 44,2569,2236,306,27,H,A,18
45 a 49,1595,1357,226,12,H,A,18
50 a 54,939,773,153,13,H,A,18
55 a 59,584,457,123,4,H,A,18
60 a 64,338,246,86,6,H,A,18
65 a 69,191,133,54,4,H,A,18
70 a 74,85,68,15,2,H,A,18
10 a 14,10,8,1,1,M,A,18
15 a 19,232,210,20,2,M,A,18
20 a 24,677,618,56,3,M,A,18
25 a 29,805,707,96,2,M,A,18
30 a 34,676,579,91,6,M,A,18
35 a 39,623,504,115,4,M,A,18
40 a 44,432,347,83,2,M,A,18
45 a 49,314,226,85,3,M,A,18
50 a 54,246,175,69,2,M,A,18
55 a 59,137,89,48,0,M,A,18
60 a 64,88,53,35,0,M,A,18
65 a 69,56,36,20,0,M,A,18
70 a 74,25,12,12,1,M,A,18
Total,4258,3695,536,27,H,V,19
07 a 09,21,20,-,1,H,V,19
10 a 14,38,35,2,1,H,V,19
15 a 19,119,108,11,-,H,V,19
20 a 24,487,463,24,-,H,V,19
25 a 29,603,566,35,2,H,V,19
30 a 34,572,527,39,6,H,V,19
35 a 39,527,488,39,-,H,V,19
40 a 44,413,385,27,1,H,V,19
45 a 49,297,269,26,2,H,V,19
50 a 54,250,207,43,-,H,V,19
55 a 59,199,155,43,1,H,V,19
60 a 64,195,147,46,2,H,V,19
65 a 69,181,125,51,5,H,V,19
70 a 74,115,65,49,1,H,V,19
75 a 79,101,58,42,1,H,V,19
80 y más,94,37,55,2,H,V,19
Ignorado,46,40,4,2,H,V,19
Total,27580,23209,4227,144,M,V,19
07 a 09,26,25,-,1,M,V,19
10 a 14,147,141,5,1,M,V,19
15 a 19,2162,1954,194,14,M,V,19
20 a 24,5233,4801,416,16,M,V,19
25 a 29,5341,4779,540,22,M,V,19
30 a 34,4457,3912,531,14,M,V,19
35 a 39,3503,2883,599,21,M,V,19
40 a 44,2434,1887,539,8,M,V,19
